kode;pemda;geo;lat;lon
990750;Kota Bengkulu;MultiPolygon;-3,869448555;102,2856836
990743;Kab. Rejang Lebong;Polygon;-3,391868929;102,7197282
990739;Kab. Bengkulu Selatan;Polygon;-4,327982046;102,9582947
990722;Kab. Bengkulu Utara;MultiPolygon;-4,372512951;102,0967016
990701;Kota Pangkal Pinang;Polygon;-2,133502748;106,1188491
990696;Kota Palembang;Polygon;-2,976208626;104,7414426
990682;Kab. Ogan Komering Ilir;MultiPolygon;-3,515195901;105,2389961
990675;Kab. Musi Rawas;Polygon;-3,204922007;102,8525292
990661;Kab. Lahat;Polygon;-4,043165676;103,2891633
990654;Kab. Muara Enim;MultiPolygon;-3,682807419;104,1211091
990640;Kab. Ogan Komering Ulu;Polygon;-4,041530449;104,2069567
990633;Kab. Musi Banyuasin;Polygon;-2,521159829;104,2036559
990629;Kab. Bangka;MultiPolygon;-1,814749981;105,9382709
990612;Kab. Belitung;MultiPolygon;-2,903713507;107,6056669
990590;Kota Jambi;Polygon;-1,625143323;103,607132
990586;Kab. Kerinci;Polygon;-2,092462814;101,5177309
990572;Kab. Merangin;Polygon;-2,103061405;102,3478908
990565;Kab. Bungo;Polygon;-1,370987838;101,7829897
990551;Kab. Tanjung Jabung Barat;Polygon;-1,038811631;103,4220796
990544;Kab. Batanghari;Polygon;-1,512458765;103,2915956
990523;Kota Batam;MultiPolygon;0,879802471;104,0803468
990519;Kota Pekanbaru;Polygon;0,589165622;101,5079425
990502;Kab. Indragiri Hilir;MultiPolygon;-0,038155477;103,5578213
990497;Kab. Indragiri Hulu;Polygon;-0,468411714;102,3606784
990480;Kab. Bintan;MultiPolygon;0,91548795;105,4007292
990476;Kab. Bengkalis;MultiPolygon;1,596904468;101,7681814
990462;Kab. Kampar;Polygon;0,39098824;100,9811249
990441;Kota Payakumbuh;Polygon;-0,238875265;100,6085141
990434;Kota Padang;MultiPolygon;-1,011270166;100,3603592
990420;Kota Sawahlunto;Polygon;-0,598251984;100,7619649
990413;Kota Solok;Polygon;-0,790615469;100,6426952
990409;Kota Padang Panjang;Polygon;-0,47034011;100,4166314
990391;Kota Bukit Tinggi;Polygon;-0,296580995;100,3672975
990387;Kab. Sijunjung;Polygon;-0,67238422;101,0601927
990370;Kab. Tanah Datar;Polygon;-0,445261085;100,5651343
990366;Kab. Pesisir Selatan;MultiPolygon;-1,408636029;100,5352915
990352;Kab. Padang Pariaman;MultiPolygon;-0,564785449;100,2231112
990345;Kab. Solok;Polygon;-0,930785662;100,8021055
990331;Kab. Limapuluh Kota;Polygon;-0,03038021;100,6350741
990324;Kab. Pasaman;Polygon;0,290953362;99,98724293
990310;Kab. Agam;MultiPolygon;-0,277200427;100,1938359
990298;Kota Sibolga;MultiPolygon;1,748893288;98,79071623
990281;Kota Tanjung Balai;Polygon;2,957916441;99,80695778
990277;Kota Pematang Siantar;Polygon;2,965650445;99,06495747
990260;Kota Binjai;Polygon;3,580362274;98,48327438
990256;Kota Tebing Tinggi;Polygon;3,326461987;99,15389781
990242;Kota Medan;Polygon;3,636502748;98,68798724
990235;Kab. Nias;MultiPolygon;1,076823144;97,82872229
990221;Kab. Asahan;MultiPolygon;2,909764072;99,66221829
990214;Kab. Tapanuli Selatan;Polygon;1,581497229;99,25205031
990200;Kab. Tapanuli Utara;MultiPolygon;2,035908307;99,11204194
990192;Kab. Dairi;Polygon;2,849137314;98,33986329
990188;Kab. Labuhanbatu;MultiPolygon;2,221792688;99,96692081
990171;Kab. Simalungun;Polygon;2,93351774;98,94427073
990167;Kab. Tapanuli Tengah;MultiPolygon;1,762485438;98,63592365
990150;Kab. Langkat;MultiPolygon;4,009683477;98,28799718
990146;Kab. Karo;Polygon;3,112808492;98,25168751
990132;Kab. Deli Serdang;MultiPolygon;3,630069295;98,6895614
990111;Kota Sabang;MultiPolygon;5,856678555;95,28989745
990104;Kota Banda Aceh;MultiPolygon;5,563375267;95,33231858
990099;Kab. Aceh Tenggara;Polygon;3,470040198;97,68720468
990082;Kab. Aceh Tengah;Polygon;4,592716618;96,91292612
990078;Kab. Aceh Barat;Polygon;4,386293253;96,24901205
990061;Kab. Aceh Selatan;MultiPolygon;3,20832076;97,26798301
990057;Kab. Aceh Timur;MultiPolygon;4,829850359;97,56444966
990040;Kab. Aceh Utara;Polygon;4,989360224;97,30715732
990036;Kab. Pidie;Polygon;5,286099567;95,90055568
990022;Kab. Aceh Besar;MultiPolygon;5,505239291;95,30809523
987642;Kab. Bombana;MultiPolygon;-4,952279539;121,8532082
987638;Kab. Wakatobi;MultiPolygon;-5,519376577;123,7902755
987621;Kab. Kepulauan Aru;MultiPolygon;-6,114979979;134,5268558
987617;Kab. Kepahiang;Polygon;-3,557667977;102,6178262
987600;Kab. Lebong;Polygon;-3,122557867;102,3436747
987595;Kab. Pasaman Barat;MultiPolygon;0,206796562;99,59006327
987581;Kab. Solok Selatan;Polygon;-1,363696698;101,4205742
987574;Kab. Dharmasraya;Polygon;-1,204575877;101,7081669
987560;Kab. Ogan Ilir;Polygon;-3,476147934;104,5551758
987553;Kab. OKU Selatan;Polygon;-4,567916743;103,944016
987549;Kab. OKU Timur;Polygon;-4,084361399;104,5447138
987532;Kab. Bener Meriah;Polygon;4,789582905;96,95324501
987528;Kab. Samosir;MultiPolygon;2,562564671;98,78127349
987511;Kab. Supiori;MultiPolygon;-0,59071942;135,4187202
987507;Kab. Sekadau;Polygon;0,38988663;111,145047
987492;Kab. Melawi;Polygon;-0,807756004;111,7083373
987485;Kab. Minahasa Utara;MultiPolygon;1,64044451;124,9955733
987471;Kab. Tojo Una Una;MultiPolygon;-0,57703481;121,8817149
987464;Kab. Lingga;MultiPolygon;0,006290952;104,4963608
987450;Kab. Sumbawa Barat;MultiPolygon;-8,834579823;116,899157
987443;Kab. Kolaka Utara;MultiPolygon;-3,171925823;121,051593
987439;Kab. Seram Bagian Barat;MultiPolygon;-3,183451951;128,0653149
987422;Kab. Seram Bagian Timur;MultiPolygon;-3,758835199;130,870465
987418;Kab. Serdang Bedagai;MultiPolygon;3,415560733;99,09894921
980522;Kab. Tanjung Jabung Timur;MultiPolygon;-1,209043145;104,1793561
980383;Kota Sorong;MultiPolygon;-0,892764885;131,3698477
980379;Kab. Lembata;MultiPolygon;-8,346758711;123,5534283
980362;Kab. Buru;MultiPolygon;-3,295875217;126,8408728
980358;Kab. Kepulauan Tanimbar;MultiPolygon;-7,448299087;131,3033444
980341;Kab. Luwu Utara;MultiPolygon;-2,534010156;120,0374608
980337;Kab. Banggai Kepulauan;MultiPolygon;-1,386499668;123,1483901
980320;Kab. Morowali;MultiPolygon;-3,020633722;122,3252141
980316;Kab. Buol;MultiPolygon;0,988286722;121,6205303
980302;Kab. Boalemo;MultiPolygon;0,523320389;122,3846524
980294;Kota Bontang;MultiPolygon;0,11137261;117,4983417
