city,city_ascii,lat,lon
Nabire,Nabire,-3.3682,135.4964
Sibolga,Sibolga,1.7425,98.7792
Sepatan,Sepatan,-6.1143,106.5784
Cisauk,Cisauk,-6.3333,106.65
Ambarawa,Ambarawa,-7.2667,110.4
Kresek,Kresek,-6.1314,106.38
Wamena,Wamena,-4.0975,138.9511
Kronjo,Kronjo,-6.0667,106.4167
Cakung,Cakung,-6.2507,106.8685
Padangpanjang,Padangpanjang,-0.45,100.4167
Merauke,Merauke,-8.4932,140.4018
Kulat,Kulat,-8.8243,115.0983
Kelandis,Kelandis,-8.5616,115.1366
Sofifi,Sofifi,0.7244,127.5806
Tanjung Selor,Tanjung Selor,2.85,117.3833
Tomohon,Tomohon,1.3244,124.8225
Lawang,Lawang,-7.83,112.7
Tatakan,Tatakan,-6.1116,106.1036
Simeulu,Simeulu,2.63,96.09
Ende,Ende,-8.8333,121.65
Pariaman,Pariaman,-0.6261,100.1206
Sumenep,Sumenep,-7.0049,113.8496
Tual,Tual,-5.6368,132.7508
Karanganyar,Karanganyar,-7.6033,110.9778
Atambua,Atambua,-9.1061,124.8925
Watampone,Watampone,-4.5386,120.3297
Mandiraja Kulon,Mandiraja Kulon,-7.4722,109.5133
Subulussalam,Subulussalam,2.6422,98.0042
Toboali,Toboali,-2.9997,106.4656
Tuban,Tuban,-6.9,112.05
Sentani,Sentani,-2.5636,140.5146
Majalengka,Majalengka,-6.8353,108.2278
Bagan Si Api-api,Bagan Si Api-api,2.1667,100.8167
Raha,Raha,-4.8311,122.7239
Solok,Solok,-0.7883,100.6542
Kampung Tengah,Kampung Tengah,1.4897,102.0797
Singaparna,Singaparna,-7.3497,108.1106
Lahat,Lahat,-3.797,103.522
Meulaboh,Meulaboh,4.1333,96.1167
Sumbawa Besar,Sumbawa Besar,-8.5,117.4167
Sawahlunto,Sawahlunto,-0.6828,100.7783
Barabai,Barabai,-2.5833,115.3833
Kuala Kapuas,Kuala Kapuas,-3.0013,114.3916
Taliwang,Taliwang,-8.7336,116.8667
Dompu,Dompu,-8.5364,118.4633
Ruteng,Ruteng,-8.6127,120.463
Kandangan,Kandangan,-2.7833,115.2667
Gombong,Gombong,-7.6,109.5167
Menggala,Menggala,-4.475,105.2414
Waingapu,Waingapu,-9.65,120.2667
Kefamenanu,Kefamenanu,-9.4467,124.4781
Luwuk,Luwuk,-0.9396,122.79
Amahai,Amahai,-3.3331,128.919
Poso,Poso,-1.4,120.75
Bebandem,Bebandem,-8.4046,115.5395
Muara Teweh,Muara Teweh,-0.9535,114.8981
Parigi,Parigi,-7.6914,108.5372
Pemangkat,Pemangkat,1.1768,108.9624
Cimerak,Cimerak,-7.7422,108.4244
Rantepao,Rantepao,-2.969,119.9
Kotabumi,Kotabumi,-4.8333,104.9
Amuntai,Amuntai,-2.4177,115.2494
Larantuka,Larantuka,-8.3133,123.0042
