kode,pemda,geo,lat,lon,2018,2022
997599,Kab. Mamasa,Polygon,"-2,983785439","119,5183674",0.3120830127446338,0.3191759390782829
997582,Kab. Parigi Moutong,MultiPolygon,"-0,072227366","120,5044684",0.3277283886225532,0.3330047360815176
997578,Kab. Rote Ndao,MultiPolygon,"-10,69590723","123,1727772",0.3045494803997,0.3045494803997
997561,Kab. Penajam Paser Utara,MultiPolygon,"-1,135637554","116,625245",0.3542489716500946,0.3548843661221592
997557,Kab. Banyuasin,MultiPolygon,"-2,320450036","104,6495408",0.3984597069326074,0.4034387083727909
997540,Kab. Barito Timur,Polygon,"-2,00509462","115,3084677",0.3753713218611901,0.377748943290325
997536,Kab. Murung Raya,Polygon,"0,03924642","113,8845799",0.3494201783459598,0.34997051816998104
997522,Kab. Pulang Pisau,Polygon,"-3,281707151","113,8721038",0.3504067099214804,0.3529617217092801
997515,Kab. Gunung Mas,Polygon,"-0,679913553","113,4752426",0.3494201783459598,0.34997051816998104
997501,Kab. Lamandau,Polygon,"-1,799907199","111,3384078",0.3467011669428658,0.34689741654829526
997493,Kab. Sukamara,Polygon,"-2,707173241","111,069472",0.3555068322383993,0.3580723679667767
997489,Kab. Seruyan,Polygon,"-2,093082919","112,0990099",0.3596116992680718,0.3603278944227428
997472,Kab. Katingan,MultiPolygon,"-2,27887557","113,0949484",0.3706230826329698,0.3754837005306975
997468,Kab. Aceh Tamiang,MultiPolygon,"4,310345927","98,05106646",0.3720214412188292,0.38373351434264524
997451,Kab. Nagan Raya,Polygon,"4,122246197","96,51735791",0.3270764899976329,0.3314530559501259
997447,Kab. Aceh Jaya,MultiPolygon,"4,862741465","95,4953366",0.3045480007595486,0.3045480007595486
997430,Kab. Gayo Lues,Polygon,"3,892815374","97,44188462",0.3053910010752054,0.30544602519333947
997426,Kab. Aceh Barat Daya,MultiPolygon,"3,801342687","96,76451341",0.3085434668955177,0.3091109273891253
997412,Kab. Kepulauan Talaud,MultiPolygon,"4,208297749","126,7934797",0.304547556867503,0.30454755686750307
994782,Kota Bau-bau,MultiPolygon,"-5,439229675","122,6603062",0.3163394997336649,0.3221347446634315
994775,Kota Singkawang,Polygon,"0,895646844","109,0489556",0.358200658933081,0.3647286339962115
994761,Kota Batu,Polygon,"-7,859529972","112,5450726",0.5577280187125164,0.561938273111979
994754,Kota Cimahi,Polygon,"-6,880257751","107,545021",0.4537076021444921,0.45375110973011423
994740,Kota Tasikmalaya,Polygon,"-7,355806037","108,2292557",0.5483984929865059,0.571561501242897
994733,Kota Lubuk Linggau,Polygon,"-3,320900119","102,8891138",0.3364096161813443,0.3417668444700906
994729,Kota Pagar Alam,Polygon,"-4,105786107","103,2893082",0.3631564731790558,0.3700427122790404
994712,Kota Prabumulih,Polygon,"-3,473692991","104,2288495",0.4624247602982959,0.48790314028961496
994708,Kota Tanjung Pinang,MultiPolygon,"0,913011614","104,4557319",0.308340096521859,0.30887758197206416
994690,Kota Padang Sidempuan,Polygon,"1,339331336","99,29865492",0.3319890617601796,0.3320627971610635
994686,Kota Lhokseumawe,Polygon,"5,170073792","97,11275451",0.4186110679549403,0.43107529148910967
994672,Kota Langsa,MultiPolygon,"4,500031392","98,01226735",0.3720214412188292,0.38373351434264524
993401,Kab. Mimika,MultiPolygon,"-4,525184959","136,2562763",0.3343307402639679,0.3353833809284248
993393,Kab. Paniai,Polygon,"-3,859066276","136,5741145",0.3467706298828126,0.34761716283933114
993389,Kab. Puncak Jaya,Polygon,"-3,278204173","137,8621025",0.3512684276850533,0.3510796009410505
993372,Kab. Simeulue,MultiPolygon,"2,590405217","96,15669503",0.3045480007595486,0.3045480007595486
993368,Kota Kupang,Polygon,"-10,20054386","123,5986864",0.3045494803997,0.3045494803997
993351,Kab. Tanggamus,MultiPolygon,"-5,584712573","104,8292362",0.3376406829525723,0.3527058241102433
993347,Kab. Tulang Bawang,MultiPolygon,"-4,460985497","105,4676524",0.464168491556187,0.5014458180437182
993330,Kota Bekasi,Polygon,"-6,303436937","106,9635692",0.4502420198074498,0.4504517896247633
993326,Kota Kendari,MultiPolygon,"-3,990004742","122,5652435",0.3545686047486585,0.378085240836095
993312,Kota Jayapura,MultiPolygon,"-2,566866398","140,7266335",0.3045480007595486,0.3045480007595486
993305,Kab. Nabire,MultiPolygon,"-3,222462069","135,3236306",0.3097957726680865,0.3104011674360792
993290,Kab. Jayawijaya,Polygon,"-4,126760517","138,8750249",0.3162005738537721,0.31628633133088757
993283,Kab. Merauke,MultiPolygon,"-7,960905872","138,9715252",0.304540436099274,0.304540436099274
993279,Kab. Fak Fak,MultiPolygon,"-2,932125764","132,4218578",0.3279597920119165,0.32795137655855483
993262,Kab. Sorong,MultiPolygon,"-1,053687448","131,4113096",0.339774854255445,0.3422915926846592
993258,Kab. Kepulauan Yapen,MultiPolygon,"-1,747256538","136,0628748",0.3435697921598801,0.3469967250631312
993241,Kab. Manokwari,MultiPolygon,"-0,924417975","133,810166",0.3045480007595486,0.3045480007595486
993237,Kab. Biak Numfor,MultiPolygon,"-1,082068865","135,7470616",0.3099707092901678,0.3107629949396302
993220,Kab. Jayapura,MultiPolygon,"-2,573054039","140,2718836",0.3045480007595486,0.3045480007595486
993202,Kota Ambon,MultiPolygon,"-3,68764252","128,1884885",0.3220924947719378,0.32416815247198566
993194,Kab. Halmahera Tengah,MultiPolygon,"0,281824945","128,7413801",0.3194815155954074,0.3197584549104319
993180,Kab. Halmahera Barat,MultiPolygon,"1,395942587","127,5308105",0.3046494485874367,0.3048569003018466
993173,Kab. Maluku Tenggara,MultiPolygon,"-5,703630302","132,8701112",0.3047314699731691,0.3046654287010733
993169,Kab. Maluku Tengah,MultiPolygon,"-3,607767028","128,9886121",0.3228429805871214,0.32416815247198566
993148,Kab. Kolaka,MultiPolygon,"-4,150182496","121,5199887",0.3071019459734058,0.31070748377327967
993131,Kab. Muna,MultiPolygon,"-4,780986216","122,7101773",0.3696433019156404,0.3969525763001104
993127,Kab. Buton,MultiPolygon,"-5,323880506","122,8967428",0.3162838036122946,0.3221297262172509
993110,Kab. Konawe,MultiPolygon,"-3,662343831","121,9817649",0.3211408333826551,0.3258493072818024
993091,Kota Bitung,MultiPolygon,"1,466433854","125,2211477",0.3312418619791665,0.33164203682331095
993084,Kota Gorontalo,Polygon,"0,52076628","123,0562155",0.3045480007595486,0.3045480007595486
993070,Kota Manado,MultiPolygon,"1,577223295","124,7843758",0.3267321777343749,0.32926106154316537
993063,Kab. Sangihe,MultiPolygon,"3,591140485","125,5627804",0.3045480007595486,0.3045480007595486
993059,Kab. Bolaang Mongondow,MultiPolygon,"0,802434949","123,954355",0.3045479760988793,0.3045480007595486
993042,Kab. Minahasa,MultiPolygon,"1,321937736","124,8165372",0.3267321777343749,0.32926106154316537
993038,Kab. Gorontalo,Polygon,"0,597614569","122,7896985",0.3047992498224428,0.304769996103614
